datetime,count
2011-01-20 00:00:00,8.43
2011-01-20 01:00:00,5.45
2011-01-20 02:00:00,3.71
2011-01-20 03:00:00,3.58
2011-01-20 04:00:00,2.82
2011-01-20 05:00:00,6.11
2011-01-20 06:00:00,35.79
2011-01-20 07:00:00,92.84
2011-01-20 08:00:00,207.78
2011-01-20 09:00:00,113.81
2011-01-20 10:00:00,60.57
2011-01-20 11:00:00,61.44
2011-01-20 12:00:00,76.49
2011-01-20 13:00:00,75.33
2011-01-20 14:00:00,72.22
2011-01-20 15:00:00,73.39
2011-01-20 16:00:00,89.48
2011-01-20 17:00:00,198.3
2011-01-20 18:00:00,173.7
2011-01-20 19:00:00,99.94
2011-01-20 20:00:00,69.69
2011-01-20 21:00:00,46.62
2011-01-20 22:00:00,41.21
2011-01-20 23:00:00,20.37
2011-01-21 00:00:00,9.59
2011-01-21 01:00:00,5.99
2011-01-21 02:00:00,3.96
2011-01-21 03:00:00,2.3233333333333333
2011-01-21 04:00:00,2.82
2011-01-21 05:00:00,3.04
2011-01-21 06:00:00,34.59
2011-01-21 07:00:00,91.22
2011-01-21 08:00:00,189.31
2011-01-21 09:00:00,123.32
2011-01-21 10:00:00,45.32
2011-01-21 11:00:00,58.32
2011-01-21 12:00:00,68.025
2011-01-21 13:00:00,65.52
2011-01-21 14:00:00,63.06
2011-01-21 15:00:00,61.77
2011-01-21 16:00:00,76.27
2011-01-21 17:00:00,152.78
2011-01-21 18:00:00,151.92
2011-01-21 19:00:00,106.91
2011-01-21 20:00:00,69.88
2011-01-21 21:00:00,43.48
2011-01-21 22:00:00,31.7
2011-01-21 23:00:00,17.16
2011-01-22 00:00:00,24.15
2011-01-22 01:00:00,17.1
2011-01-22 02:00:00,12.47
2011-01-22 03:00:00,5.77
2011-01-22 04:00:00,2.37
2011-01-22 06:00:00,4.03
2011-01-22 07:00:00,13.88
2011-01-22 08:00:00,20.8
2011-01-22 09:00:00,29.37
2011-01-22 10:00:00,54.44
2011-01-22 11:00:00,57.59
2011-01-22 12:00:00,77.74
2011-01-22 13:00:00,80.3
2011-01-22 14:00:00,79.4
2011-01-22 15:00:00,80.24
2011-01-22 16:00:00,81.15
2011-01-22 17:00:00,94.56
2011-01-22 18:00:00,58.68
2011-01-22 19:00:00,41.86
2011-01-22 20:00:00,45.6
2011-01-22 21:00:00,37.53
2011-01-22 22:00:00,24.31
2011-01-22 23:00:00,15.83
2011-01-23 00:00:00,26.65
2011-01-23 01:00:00,19.98
2011-01-23 02:00:00,14.54
2011-01-23 03:00:00,10.91
2011-01-23 05:00:00,3.02
2011-01-23 06:00:00,2.17
2011-01-23 07:00:00,10.02
2011-01-23 08:00:00,18.53
2011-01-23 09:00:00,23.95
2011-01-23 10:00:00,54.92
2011-01-23 11:00:00,62.34
2011-01-23 12:00:00,73.89
2011-01-23 13:00:00,73.51
2011-01-23 14:00:00,78.14
2011-01-23 15:00:00,76.42
2011-01-23 16:00:00,80.64
2011-01-23 17:00:00,82.82
2011-01-23 18:00:00,71.4
2011-01-23 19:00:00,51.17
2011-01-23 20:00:00,33.4
2011-01-23 21:00:00,36.71
2011-01-23 22:00:00,25.61
2011-01-23 23:00:00,15.44
2011-01-24 00:00:00,11.47
2011-01-24 01:00:00,5.87
2011-01-24 03:00:00,1.82
2011-01-24 04:00:00,2.44
2011-01-24 05:00:00,5.97
2011-01-24 06:00:00,30.47
2011-01-24 07:00:00,76.39
2011-01-24 08:00:00,181.62
2011-01-24 09:00:00,118.78
2011-01-24 10:00:00,50.13
2011-01-24 11:00:00,44.81
2011-01-24 12:00:00,57.74
2011-01-24 13:00:00,48.29
2011-01-24 14:00:00,44.97
2011-01-24 15:00:00,53.87
2011-01-24 16:00:00,69.35
2011-01-24 17:00:00,154.26
2011-01-24 18:00:00,146.44
2011-01-24 19:00:00,96.15
2011-01-24 20:00:00,63.49
2011-01-24 21:00:00,45.95
2011-01-24 22:00:00,25.26
2011-01-24 23:00:00,20.62
2011-01-25 00:00:00,9.03
2011-01-25 01:00:00,4.14
2011-01-25 02:00:00,1.74
2011-01-25 04:00:00,1.53
2011-01-25 05:00:00,5.22
2011-01-25 06:00:00,33.97
2011-01-25 07:00:00,71.67
2011-01-25 08:00:00,166.33
2011-01-25 09:00:00,113.64
2011-01-25 10:00:00,58.53
2011-01-25 11:00:00,61.37
2011-01-25 12:00:00,77.16
2011-01-25 13:00:00,75.8
2011-01-25 14:00:00,70.06
2011-01-25 15:00:00,70.19
2011-01-25 16:00:00,88.84
2011-01-25 17:00:00,200.05
2011-01-25 18:00:00,183.77
2011-01-25 19:00:00,111.15
2011-01-25 20:00:00,71.26
2011-01-25 21:00:00,47.29
2011-01-25 22:00:00,38.0
2011-01-25 23:00:00,19.04
2011-01-26 00:00:00,9.11
2011-01-26 01:00:00,5.5
2011-01-26 02:00:00,2.853333333333333
2011-01-26 05:00:00,3.14
2011-01-26 06:00:00,26.19
2011-01-26 07:00:00,72.15
2011-01-26 08:00:00,147.98
2011-01-26 09:00:00,89.04
2011-01-26 10:00:00,37.68
2011-01-26 11:00:00,33.52
2011-01-26 12:00:00,32.04
2011-01-26 13:00:00,33.92
2011-01-26 14:00:00,34.85
2011-01-26 15:00:00,34.7
2011-01-26 16:00:00,60.93
2011-01-26 17:00:00,116.35
2011-01-27 16:00:00,77.72
2011-01-27 17:00:00,169.59
2011-01-27 18:00:00,134.8
2011-01-27 19:00:00,97.23
2011-01-27 20:00:00,67.54
2011-01-27 21:00:00,49.97
2011-01-27 22:00:00,35.66
2011-01-27 23:00:00,17.3
2011-01-28 00:00:00,9.97
2011-01-28 01:00:00,6.22
2011-01-28 02:00:00,2.23
2011-01-28 03:00:00,2.31
2011-01-28 05:00:00,5.24
2011-01-28 06:00:00,32.43
2011-01-28 07:00:00,81.03
2011-01-28 08:00:00,175.52
2011-01-28 09:00:00,86.42
2011-01-28 10:00:00,39.57
2011-01-28 11:00:00,40.18
2011-01-28 12:00:00,41.5
2011-01-28 13:00:00,41.95
2011-01-28 14:00:00,50.26
2011-01-28 15:00:00,47.43
2011-01-28 16:00:00,68.17
2011-01-28 17:00:00,163.79
2011-01-28 18:00:00,150.79
2011-01-28 19:00:00,103.44
2011-01-28 20:00:00,71.51
2011-01-28 21:00:00,47.25
2011-01-28 22:00:00,37.6
2011-01-28 23:00:00,19.25
2011-01-29 00:00:00,28.41
2011-01-29 01:00:00,21.89
2011-01-29 02:00:00,17.18
2011-01-29 03:00:00,11.63
2011-01-29 04:00:00,3.16
2011-01-29 06:00:00,2.73
2011-01-29 07:00:00,12.83
2011-01-29 08:00:00,22.55
2011-01-29 09:00:00,32.41
2011-01-29 10:00:00,66.06
2011-01-29 11:00:00,65.26
2011-01-29 12:00:00,83.87
2011-01-29 13:00:00,84.41
2011-01-29 14:00:00,83.76
2011-01-29 15:00:00,83.96
