datetime,count
2011-01-20 00:00:00,13.44
2011-01-20 01:00:00,5.72
2011-01-20 02:00:00,5.2
2011-01-20 03:00:00,3.36
2011-01-20 04:00:00,2.44
2011-01-20 05:00:00,8.73
2011-01-20 06:00:00,36.29
2011-01-20 07:00:00,88.04
2011-01-20 08:00:00,200.9
2011-01-20 09:00:00,117.71
2011-01-20 10:00:00,57.43
2011-01-20 11:00:00,60.93
2011-01-20 12:00:00,79.77
2011-01-20 13:00:00,71.89
2011-01-20 14:00:00,73.22
2011-01-20 15:00:00,77.12
2011-01-20 16:00:00,90.13
2011-01-20 17:00:00,195.47
2011-01-20 18:00:00,160.67
2011-01-20 19:00:00,102.31
2011-01-20 20:00:00,70.25
2011-01-20 21:00:00,47.44
2011-01-20 22:00:00,39.6
2011-01-20 23:00:00,21.38
2011-01-21 00:00:00,12.04
2011-01-21 01:00:00,6.67
2011-01-21 02:00:00,4.65
2011-01-21 03:00:00,2.97
2011-01-21 04:00:00,2.56
2011-01-21 05:00:00,5.64
2011-01-21 06:00:00,35.35
2011-01-21 07:00:00,87.88
2011-01-21 08:00:00,185.91
2011-01-21 09:00:00,121.98
2011-01-21 10:00:00,29.43
2011-01-21 11:00:00,43.51
2011-01-21 12:00:00,54.58
2011-01-21 13:00:00,49.29
2011-01-21 14:00:00,47.73
2011-01-21 15:00:00,48.22
2011-01-21 16:00:00,65.83
2011-01-21 17:00:00,146.32
2011-01-21 18:00:00,146.3
2011-01-21 19:00:00,107.54
2011-01-21 20:00:00,71.46
2011-01-21 21:00:00,44.31
2011-01-21 22:00:00,31.2
2011-01-21 23:00:00,18.2
2011-01-22 00:00:00,26.8
2011-01-22 01:00:00,17.7
2011-01-22 02:00:00,13.37
2011-01-22 03:00:00,9.11
2011-01-22 04:00:00,2.81
2011-01-22 06:00:00,6.28
2011-01-22 07:00:00,18.09
2011-01-22 08:00:00,28.36
2011-01-22 09:00:00,36.36
2011-01-22 10:00:00,59.35
2011-01-22 11:00:00,62.01
2011-01-22 12:00:00,78.43
2011-01-22 13:00:00,82.55
2011-01-22 14:00:00,80.83
2011-01-22 15:00:00,81.17
2011-01-22 16:00:00,82.11
2011-01-22 17:00:00,89.29
2011-01-22 18:00:00,66.45
2011-01-22 19:00:00,57.91
2011-01-22 20:00:00,47.53
2011-01-22 21:00:00,38.46
2011-01-22 22:00:00,25.47
2011-01-22 23:00:00,16.07
